gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
Pa09g2219,5907.81742466508,6.9076205394832,0.345039225614592,20.0198123189594,3.70112638694968e-89,8.33271594757852e-85,UP
Pa09g2218,5692.3655958357,-3.80927115149667,0.318199856315174,-11.971316378357,5.02253748509821e-33,5.65387044697506e-29,Down
Pa01g0641,1425.1400405796,3.59909254110634,0.374542627001003,9.60930020148734,7.30437188096374e-22,4.11126571320044e-18,UP
Pa05g3019,3784.5978666659,3.11929822798311,0.323768893954261,9.63433574450725,5.72611366334128e-22,4.11126571320044e-18,UP
Pa02g4518,6109.55394257412,2.68161050351057,0.324678788734683,8.25927223013602,1.46563318491241e-16,6.59945310502361e-13,UP
Pa11g2050,1922.58892434454,-2.9225417225994,0.368308493020574,-7.93503755135005,2.10431645986177e-15,7.89609679622131e-12,Down
Pa05g0301,240.781901491198,-4.46470790503082,0.588601695019342,-7.5852787085231,3.3177311580635e-14,1.06707713275202e-10,Down
Pa10g1610,854.685559319367,-6.37568709148991,0.872075609978941,-7.31093384396322,2.65292132300438e-13,7.46598383326509e-10,Down
Pa10g1685,316.162840009748,-5.3768922528894,0.737874235566346,-7.28700365687986,3.16924307917299e-13,7.92803763161119e-10,Down
Pa07g3397,3576.99708776895,-2.77914345273516,0.386692003730531,-7.18696902424657,6.62454319971413e-13,1.49144965598364e-09,Down
Pa03g3629,713.478165625385,-3.97350889772278,0.559613918393015,-7.10044687439706,1.24354131133205e-12,2.54518991666635e-09,Down
Pa05g3086,76.9096725576035,22.4539562793059,3.18244607510684,7.0555653573964,1.71900361404948e-12,3.22513728055917e-09,UP
Pa08g3320,2327.11201793378,-2.82820552924794,0.402737739601804,-7.02244972632625,2.18011461259264e-12,3.77562310676236e-09,Down
Pa11g1707,756.181171883667,-3.19004994948517,0.455531860708604,-7.00291291266187,2.50694676802308e-12,4.03152853823369e-09,Down
Pa06g1129,1424.91655455604,-2.65754858317078,0.384678949505,-6.90848455989203,4.89858292540418e-12,7.35244639883664e-09,Down
Pa06g0438,2831.22726797917,-5.21557943135586,0.778528014783742,-6.69928291893855,2.09444748546291e-11,2.947149417982e-08,Down
Pa05g1105,6655.44360545821,-2.4398834293017,0.367316092062719,-6.64246266914189,3.08484812086553e-11,4.08542768195097e-08,Down
Pa01g3039,4608.56550289644,-3.70529078328026,0.561707689373772,-6.59647509438789,4.21048194773295e-11,5.26637725395887e-08,Down
Pa08g3399,323.13389339606,-3.0119540094679,0.460997066380779,-6.5335643740953,6.42225704288406e-11,7.61003658228904e-08,Down
Pa08g0067,1747.37789380759,2.22888226362874,0.344280273494629,6.4740341960473,9.54202916890129e-11,1.07414622354322e-07,UP
Pa11g0839,1572.74387515843,-3.36000642401082,0.519858675211226,-6.46330740300832,1.02438893118326e-10,1.09824249507904e-07,Down
Pa07g1485,5511.97064232615,-3.19271830603315,0.495821405456232,-6.4392506473079,1.20064787019522e-10,1.17527765867719e-07,Down
Pa05g3540,451.182113732323,-3.00650032002939,0.46662232085696,-6.44311295376505,1.1704751629447e-10,1.17527765867719e-07,Down
Pa07g0172,321.384872040749,4.36010928138365,0.683452009227559,6.37953978116396,1.77620943042644e-10,1.66623246319253e-07,UP
Pa04g2605,541.742827272864,-5.38742130394559,0.848859227688032,-6.34666046880219,2.20039017002719e-10,1.90536862646123e-07,Down
Pa03g2230,265.988300949091,-3.64061367696543,0.57308799930239,-6.35262591678256,2.11670032096648e-10,1.90536862646123e-07,Down
Pa12g0825,219.535565330067,-3.30540722491479,0.522798601940883,-6.32252498886476,2.57323394001668e-10,2.14569588613094e-07,Down
Pa06g1960,13938.4290127328,2.02608599314725,0.321220396997392,6.30746369809045,2.83645077794471e-10,2.28070902909455e-07,UP
Pa04g0544,4655.94797989539,2.390337899395,0.379946196766605,6.29125365574682,3.14912259256323e-10,2.44480503617133e-07,UP
Pa03g1753,1256.53616166855,-2.18100972808809,0.349331023533826,-6.24338973969458,4.28188186123349e-10,3.21340960746036e-07,Down
Pa10g1886,149.932593644139,10.6864763566669,1.71582600526606,6.22818183421219,4.71879212682769e-10,3.42706083688382e-07,UP
Pa11g0946,3468.73431356779,-1.98903186739676,0.325131039173961,-6.11763144008077,9.49764147512686e-10,6.68218438034394e-07,Down
Pa09g0025,329.265886253642,-3.79875190649901,0.622820514192292,-6.09927229424266,1.06552427269781e-09,7.26945862894499e-07,Down
Pa05g0742,2894.71098798652,-2.03597806174895,0.335102987078951,-6.07567864284443,1.23464444129767e-09,8.17552498569873e-07,Down
Pa08g0568,1506.91299340159,-2.98654597433473,0.492765868485109,-6.06078092120331,1.35462235655629e-09,8.71370506728806e-07,Down
Pa03g4155,1596.76967594966,-2.88720738268805,0.479598992676239,-6.02004471814457,1.74368891273975e-09,1.09048367170619e-06,Down
Pa08g2233,4364.26054911925,-2.12085555228262,0.355025358460591,-5.97381426915182,2.31769656866671e-09,1.41028704180979e-06,Down
Pa11g0969,406.03438999529,-5.0875164462862,0.854909478732813,-5.95094167610254,2.6660408536257e-09,1.57955904680339e-06,Down
Pa05g3505,10528.0481210704,-6.32951070069448,1.0750633871371,-5.88756977162992,3.91915735469907e-09,2.26245919701782e-06,Down
